chr10:114757349-114759349	1	chr10:114792602-114841400
chr10:7567002-7567600	1	chr10:9342954-9344955
chr10:7927151-7929152	1	chr10:8066866-8068867
chr10:7927151-7929152	1	chr10:8098002-8121400
chr10:7927151-7929152	1	chr10:8372002-8377000
chr10:7927151-7929152	1	chr10:8390002-8394400
chr10:7927151-7929152	1	chr10:8402002-8404600
chr10:7927151-7929152	1	chr10:8405602-8410600
chr10:7927151-7929152	1	chr10:8898177-8900178
chr10:7927151-7929152	1	chr10:8898312-8900313
chr10:7927151-7929152	1	chr10:8899652-8901653
chr10:7927151-7929152	1	chr10:8902379-8904380
chr10:7927151-7929152	1	chr10:8910062-8912063
chr10:7927151-7929152	1	chr10:9078498-9080499
chr10:7927151-7929152	1	chr10:9111313-9113314
chr10:7927151-7929152	1	chr10:9116103-9118104
chr10:7927151-7929152	1	chr10:9200402-9201600
chr10:7927151-7929152	1	chr10:9214998-9216999
chr10:7927151-7929152	1	chr10:9342954-9344955
chr10:8066866-8068867	1	chr10:8098002-8121400
chr10:8066866-8068867	1	chr10:8372002-8377000
chr10:8066866-8068867	1	chr10:8390002-8394400
chr10:8066866-8068867	1	chr10:8402002-8404600
chr10:8066866-8068867	1	chr10:8405602-8410600
chr10:8066866-8068867	1	chr10:8898177-8900178
chr10:8066866-8068867	1	chr10:8898312-8900313
chr10:8066866-8068867	1	chr10:8899652-8901653
chr10:8066866-8068867	1	chr10:8902379-8904380
chr10:8066866-8068867	1	chr10:8910062-8912063
chr10:8066866-8068867	1	chr10:9078498-9080499
chr10:8066866-8068867	1	chr10:9111313-9113314
chr10:8066866-8068867	1	chr10:9116103-9118104
chr10:8066866-8068867	1	chr10:9200402-9201600
chr10:8066866-8068867	1	chr10:9214998-9216999
chr10:8066866-8068867	1	chr10:9342954-9344955
chr10:8098002-8121400	1	chr10:8372002-8377000
chr10:8098002-8121400	1	chr10:8390002-8394400
chr10:8098002-8121400	1	chr10:8402002-8404600
chr10:8098002-8121400	1	chr10:8405602-8410600
chr10:8098002-8121400	1	chr10:8898177-8900178
chr10:8098002-8121400	1	chr10:8898312-8900313
chr10:8098002-8121400	1	chr10:8899652-8901653
chr10:8098002-8121400	1	chr10:8902379-8904380
chr10:8098002-8121400	1	chr10:8910062-8912063
chr10:8098002-8121400	1	chr10:9078498-9080499
chr10:8098002-8121400	1	chr10:9111313-9113314
chr10:8098002-8121400	1	chr10:9116103-9118104
chr10:8098002-8121400	1	chr10:9200402-9201600
chr10:8098002-8121400	1	chr10:9214998-9216999
chr10:8098002-8121400	1	chr10:9342954-9344955
chr10:8372002-8377000	1	chr10:8390002-8394400
chr10:8372002-8377000	1	chr10:8402002-8404600
chr10:8372002-8377000	1	chr10:8405602-8410600
chr10:8372002-8377000	1	chr10:8898177-8900178
chr10:8372002-8377000	1	chr10:8898312-8900313
chr10:8372002-8377000	1	chr10:8899652-8901653
chr10:8372002-8377000	1	chr10:8902379-8904380
chr10:8372002-8377000	1	chr10:8910062-8912063
chr10:8372002-8377000	1	chr10:9078498-9080499
chr10:8372002-8377000	1	chr10:9111313-9113314
chr10:8372002-8377000	1	chr10:9116103-9118104
chr10:8372002-8377000	1	chr10:9200402-9201600
chr10:8372002-8377000	1	chr10:9214998-9216999
chr10:8372002-8377000	1	chr10:9342954-9344955
chr10:8390002-8394400	1	chr10:8402002-8404600
chr10:8390002-8394400	1	chr10:8405602-8410600
chr10:8390002-8394400	1	chr10:8898177-8900178
chr10:8390002-8394400	1	chr10:8898312-8900313
chr10:8390002-8394400	1	chr10:8899652-8901653
chr10:8390002-8394400	1	chr10:8902379-8904380
chr10:8390002-8394400	1	chr10:8910062-8912063
chr10:8390002-8394400	1	chr10:9078498-9080499
chr10:8390002-8394400	1	chr10:9111313-9113314
chr10:8390002-8394400	1	chr10:9116103-9118104
chr10:8390002-8394400	1	chr10:9200402-9201600
chr10:8390002-8394400	1	chr10:9214998-9216999
chr10:8390002-8394400	1	chr10:9342954-9344955
chr10:8402002-8404600	1	chr10:8405602-8410600
chr10:8402002-8404600	1	chr10:8898177-8900178
chr10:8402002-8404600	1	chr10:8898312-8900313
chr10:8402002-8404600	1	chr10:8899652-8901653
chr10:8402002-8404600	1	chr10:8902379-8904380
chr10:8402002-8404600	1	chr10:8910062-8912063
chr10:8402002-8404600	1	chr10:9078498-9080499
chr10:8402002-8404600	1	chr10:9111313-9113314
chr10:8402002-8404600	1	chr10:9116103-9118104
chr10:8402002-8404600	1	chr10:9200402-9201600
chr10:8402002-8404600	1	chr10:9214998-9216999
chr10:8402002-8404600	1	chr10:9342954-9344955
chr10:8405602-8410600	1	chr10:8898177-8900178
chr10:8405602-8410600	1	chr10:8898312-8900313
chr10:8405602-8410600	1	chr10:8899652-8901653
chr10:8405602-8410600	1	chr10:8902379-8904380
chr10:8405602-8410600	1	chr10:8910062-8912063
chr10:8405602-8410600	1	chr10:9078498-9080499
chr10:8405602-8410600	1	chr10:9111313-9113314
chr10:8405602-8410600	1	chr10:9116103-9118104
chr10:8405602-8410600	1	chr10:9200402-9201600
chr10:8405602-8410600	1	chr10:9214998-9216999
chr10:8405602-8410600	1	chr10:9342954-9344955
chr10:8898177-8900178	1	chr10:8898312-8900313
chr10:8898177-8900178	1	chr10:8899652-8901653
chr10:8898177-8900178	1	chr10:8902379-8904380
chr10:8898177-8900178	1	chr10:8910062-8912063
chr10:8898177-8900178	1	chr10:9078498-9080499
chr10:8898177-8900178	1	chr10:9111313-9113314
chr10:8898177-8900178	1	chr10:9116103-9118104
chr10:8898177-8900178	1	chr10:9200402-9201600
chr10:8898177-8900178	1	chr10:9214998-9216999
chr10:8898177-8900178	1	chr10:9342954-9344955
chr10:8898312-8900313	1	chr10:8899652-8901653
chr10:8898312-8900313	1	chr10:8902379-8904380
chr10:8898312-8900313	1	chr10:8910062-8912063
chr10:8898312-8900313	1	chr10:9078498-9080499
chr10:8898312-8900313	1	chr10:9111313-9113314
chr10:8898312-8900313	1	chr10:9116103-9118104
chr10:8898312-8900313	1	chr10:9200402-9201600
chr10:8898312-8900313	1	chr10:9214998-9216999
chr10:8898312-8900313	1	chr10:9342954-9344955
chr10:8899652-8901653	1	chr10:8902379-8904380
chr10:8899652-8901653	1	chr10:8910062-8912063
chr10:8899652-8901653	1	chr10:9078498-9080499
chr10:8899652-8901653	1	chr10:9111313-9113314
chr10:8899652-8901653	1	chr10:9116103-9118104
chr10:8899652-8901653	1	chr10:9200402-9201600
chr10:8899652-8901653	1	chr10:9214998-9216999
chr10:8899652-8901653	1	chr10:9342954-9344955
chr10:8902379-8904380	1	chr10:8910062-8912063
chr10:8902379-8904380	1	chr10:9078498-9080499
chr10:8902379-8904380	1	chr10:9111313-9113314
chr10:8902379-8904380	1	chr10:9116103-9118104
chr10:8902379-8904380	1	chr10:9200402-9201600
chr10:8902379-8904380	1	chr10:9214998-9216999
chr10:8902379-8904380	1	chr10:9342954-9344955
chr10:8910062-8912063	1	chr10:9078498-9080499
chr10:8910062-8912063	1	chr10:9111313-9113314
chr10:8910062-8912063	1	chr10:9116103-9118104
chr10:8910062-8912063	1	chr10:9200402-9201600
chr10:8910062-8912063	1	chr10:9214998-9216999
chr10:8910062-8912063	1	chr10:9342954-9344955
chr10:89621988-89623988	1	chr10:89622392-89624392
chr10:89621988-89623988	1	chr10:89622462-89624462
chr10:89621988-89623988	1	chr10:89871002-89874800
chr10:89621988-89623988	1	chr10:89909402-89919200
chr10:89621988-89623988	1	chr10:89937602-89938400
chr10:89621988-89623988	1	chr10:90142802-90152600
chr10:89621988-89623988	1	chr17:5519002-5520600
chr10:89622392-89624392	1	chr10:89622462-89624462
chr10:89622392-89624392	1	chr10:89871002-89874800
chr10:89622392-89624392	1	chr10:89909402-89919200
chr10:89622392-89624392	1	chr10:89937602-89938400
chr10:89622392-89624392	1	chr10:90142802-90152600
chr10:89622392-89624392	1	chr17:5519002-5520600
chr10:89622462-89624462	1	chr10:89871002-89874800
chr10:89622462-89624462	1	chr10:89909402-89919200
chr10:89622462-89624462	1	chr10:89937602-89938400
chr10:89622462-89624462	1	chr10:90142802-90152600
chr10:89622462-89624462	1	chr17:5519002-5520600
chr10:89871002-89874800	1	chr10:89909402-89919200
chr10:89871002-89874800	1	chr10:89937602-89938400
chr10:89871002-89874800	1	chr10:90142802-90152600
chr10:89871002-89874800	1	chr17:5519002-5520600
chr10:89909402-89919200	1	chr10:89937602-89938400
chr10:89909402-89919200	1	chr10:90142802-90152600
chr10:89909402-89919200	1	chr17:5519002-5520600
chr10:89937602-89938400	1	chr10:90142802-90152600
chr10:89937602-89938400	1	chr17:5519002-5520600
chr10:90142802-90152600	1	chr17:5519002-5520600
chr10:9078498-9080499	1	chr10:9111313-9113314
chr10:9078498-9080499	1	chr10:9116103-9118104
chr10:9078498-9080499	1	chr10:9200402-9201600
chr10:9078498-9080499	1	chr10:9214998-9216999
chr10:9078498-9080499	1	chr10:9342954-9344955
chr10:9111313-9113314	1	chr10:9116103-9118104
chr10:9111313-9113314	1	chr10:9200402-9201600
chr10:9111313-9113314	1	chr10:9214998-9216999
chr10:9111313-9113314	1	chr10:9342954-9344955
chr10:9116103-9118104	1	chr10:9200402-9201600
chr10:9116103-9118104	1	chr10:9214998-9216999
chr10:9116103-9118104	1	chr10:9342954-9344955
chr10:9200402-9201600	1	chr10:9214998-9216999
chr10:9200402-9201600	1	chr10:9342954-9344955
chr10:9214998-9216999	1	chr10:9342954-9344955
chr11:107879536-107881537	1	chr11:108209402-108213400
chr11:107879536-107881537	1	chr11:109962202-109963400
chr11:108209402-108213400	1	chr11:109962202-109963400
chr11:2158202-2159200	1	chr11:2845202-2852800
chr11:31534353-31542527	1	chr11:31676019-31679740
chr11:5247402-5249402	1	chr11:5247491-5249491
chr11:5247402-5249402	1	chr11:5248002-5248400
chr11:5247491-5249491	1	chr11:5248002-5248400
chr11:68837002-68866200	1	chr11:68869602-68873200
chr11:68837002-68866200	1	chr11:68880643-68882644
chr11:68837002-68866200	1	chr11:68885052-68887053
chr11:68837002-68866200	1	chr11:69050978-69052979
chr11:68837002-68866200	1	chr11:69052154-69054155
chr11:68837002-68866200	1	chr11:69083602-69090000
chr11:68837002-68866200	1	chr11:69191002-69193000
chr11:68837002-68866200	1	chr11:69233802-69236800
chr11:68837002-68866200	1	chr11:69238741-69240741
chr11:68837002-68866200	1	chr11:69242913-69244914
chr11:68837002-68866200	1	chr11:69249002-69254400
chr11:68837002-68866200	1	chr11:69255005-69257006
chr11:68837002-68866200	1	chr11:69255008-69257009
chr11:68837002-68866200	1	chr11:69255011-69257012
chr11:68837002-68866200	1	chr11:69257002-69267000
chr11:68837002-68866200	1	chr11:69276802-69281000
chr11:68837002-68866200	1	chr11:69281002-69287200
chr11:68837002-68866200	1	chr11:69286640-69288641
chr11:68837002-68866200	1	chr11:69299402-69305200
chr11:68837002-68866200	1	chr11:69304799-69306800
chr11:68837002-68866200	1	chr11:69308202-69315800
chr11:68837002-68866200	1	chr11:69314935-69316936
chr11:68837002-68866200	1	chr11:69316977-69318978
chr11:68837002-68866200	1	chr11:69317175-69319176
chr11:68837002-68866200	1	chr11:69323989-69325990
chr11:68837002-68866200	1	chr11:69329742-69331743
chr11:68837002-68866200	1	chr11:69331202-69334200
chr11:68837002-68866200	1	chr11:69344852-69346853
chr11:68837002-68866200	1	chr11:69351202-69352000
chr11:68837002-68866200	1	chr11:69353002-69356800
chr11:68837002-68866200	1	chr11:69390202-69391200
chr11:68837002-68866200	1	chr11:69415853-69417854
chr11:68837002-68866200	1	chr11:69417602-69419000
chr11:68837002-68866200	1	chr11:69430402-69432400
chr11:68837002-68866200	1	chr11:69457802-69476800
chr11:68869602-68873200	1	chr11:68880643-68882644
chr11:68869602-68873200	1	chr11:68885052-68887053
chr11:68869602-68873200	1	chr11:69050978-69052979
chr11:68869602-68873200	1	chr11:69052154-69054155
chr11:68869602-68873200	1	chr11:69083602-69090000
chr11:68869602-68873200	1	chr11:69191002-69193000
chr11:68869602-68873200	1	chr11:69233802-69236800
chr11:68869602-68873200	1	chr11:69238741-69240741
chr11:68869602-68873200	1	chr11:69242913-69244914
chr11:68869602-68873200	1	chr11:69249002-69254400
chr11:68869602-68873200	1	chr11:69255005-69257006
chr11:68869602-68873200	1	chr11:69255008-69257009
chr11:68869602-68873200	1	chr11:69255011-69257012
chr11:68869602-68873200	1	chr11:69257002-69267000
chr11:68869602-68873200	1	chr11:69276802-69281000
chr11:68869602-68873200	1	chr11:69281002-69287200
chr11:68869602-68873200	1	chr11:69286640-69288641
chr11:68869602-68873200	1	chr11:69299402-69305200
chr11:68869602-68873200	1	chr11:69304799-69306800
chr11:68869602-68873200	1	chr11:69308202-69315800
chr11:68869602-68873200	1	chr11:69314935-69316936
chr11:68869602-68873200	1	chr11:69316977-69318978
chr11:68869602-68873200	1	chr11:69317175-69319176
chr11:68869602-68873200	1	chr11:69323989-69325990
chr11:68869602-68873200	1	chr11:69329742-69331743
chr11:68869602-68873200	1	chr11:69331202-69334200
chr11:68869602-68873200	1	chr11:69344852-69346853
chr11:68869602-68873200	1	chr11:69351202-69352000
chr11:68869602-68873200	1	chr11:69353002-69356800
chr11:68869602-68873200	1	chr11:69390202-69391200
chr11:68869602-68873200	1	chr11:69415853-69417854
chr11:68869602-68873200	1	chr11:69417602-69419000
chr11:68869602-68873200	1	chr11:69430402-69432400
chr11:68869602-68873200	1	chr11:69457802-69476800
chr11:68880643-68882644	1	chr11:68885052-68887053
chr11:68880643-68882644	1	chr11:69050978-69052979
chr11:68880643-68882644	1	chr11:69052154-69054155
chr11:68880643-68882644	1	chr11:69083602-69090000
chr11:68880643-68882644	1	chr11:69191002-69193000
chr11:68880643-68882644	1	chr11:69233802-69236800
chr11:68880643-68882644	1	chr11:69238741-69240741
chr11:68880643-68882644	1	chr11:69242913-69244914
chr11:68880643-68882644	1	chr11:69249002-69254400
chr11:68880643-68882644	1	chr11:69255005-69257006
chr11:68880643-68882644	1	chr11:69255008-69257009
chr11:68880643-68882644	1	chr11:69255011-69257012
chr11:68880643-68882644	1	chr11:69257002-69267000
chr11:68880643-68882644	1	chr11:69276802-69281000
chr11:68880643-68882644	1	chr11:69281002-69287200
chr11:68880643-68882644	1	chr11:69286640-69288641
chr11:68880643-68882644	1	chr11:69299402-69305200
chr11:68880643-68882644	1	chr11:69304799-69306800
chr11:68880643-68882644	1	chr11:69308202-69315800
chr11:68880643-68882644	1	chr11:69314935-69316936
chr11:68880643-68882644	1	chr11:69316977-69318978
chr11:68880643-68882644	1	chr11:69317175-69319176
chr11:68880643-68882644	1	chr11:69323989-69325990
chr11:68880643-68882644	1	chr11:69329742-69331743
chr11:68880643-68882644	1	chr11:69331202-69334200
chr11:68880643-68882644	1	chr11:69344852-69346853
chr11:68880643-68882644	1	chr11:69351202-69352000
chr11:68880643-68882644	1	chr11:69353002-69356800
chr11:68880643-68882644	1	chr11:69390202-69391200
chr11:68880643-68882644	1	chr11:69415853-69417854
chr11:68880643-68882644	1	chr11:69417602-69419000
chr11:68880643-68882644	1	chr11:69430402-69432400
chr11:68880643-68882644	1	chr11:69457802-69476800
chr11:68885052-68887053	1	chr11:69050978-69052979
chr11:68885052-68887053	1	chr11:69052154-69054155
chr11:68885052-68887053	1	chr11:69083602-69090000
chr11:68885052-68887053	1	chr11:69191002-69193000
chr11:68885052-68887053	1	chr11:69233802-69236800
chr11:68885052-68887053	1	chr11:69238741-69240741
chr11:68885052-68887053	1	chr11:69242913-69244914
chr11:68885052-68887053	1	chr11:69249002-69254400
chr11:68885052-68887053	1	chr11:69255005-69257006
chr11:68885052-68887053	1	chr11:69255008-69257009
chr11:68885052-68887053	1	chr11:69255011-69257012
chr11:68885052-68887053	1	chr11:69257002-69267000
chr11:68885052-68887053	1	chr11:69276802-69281000
chr11:68885052-68887053	1	chr11:69281002-69287200
chr11:68885052-68887053	1	chr11:69286640-69288641
chr11:68885052-68887053	1	chr11:69299402-69305200
chr11:68885052-68887053	1	chr11:69304799-69306800
chr11:68885052-68887053	1	chr11:69308202-69315800
chr11:68885052-68887053	1	chr11:69314935-69316936
chr11:68885052-68887053	1	chr11:69316977-69318978
chr11:68885052-68887053	1	chr11:69317175-69319176
chr11:68885052-68887053	1	chr11:69323989-69325990
chr11:68885052-68887053	1	chr11:69329742-69331743
chr11:68885052-68887053	1	chr11:69331202-69334200
chr11:68885052-68887053	1	chr11:69344852-69346853
chr11:68885052-68887053	1	chr11:69351202-69352000
chr11:68885052-68887053	1	chr11:69353002-69356800
chr11:68885052-68887053	1	chr11:69390202-69391200
chr11:68885052-68887053	1	chr11:69415853-69417854
chr11:68885052-68887053	1	chr11:69417602-69419000
chr11:68885052-68887053	1	chr11:69430402-69432400
chr11:68885052-68887053	1	chr11:69457802-69476800
chr11:69050978-69052979	1	chr11:69052154-69054155
chr11:69050978-69052979	1	chr11:69083602-69090000
chr11:69050978-69052979	1	chr11:69191002-69193000
chr11:69050978-69052979	1	chr11:69233802-69236800
chr11:69050978-69052979	1	chr11:69238741-69240741
chr11:69050978-69052979	1	chr11:69242913-69244914
chr11:69050978-69052979	1	chr11:69249002-69254400
chr11:69050978-69052979	1	chr11:69255005-69257006
chr11:69050978-69052979	1	chr11:69255008-69257009
chr11:69050978-69052979	1	chr11:69255011-69257012
chr11:69050978-69052979	1	chr11:69257002-69267000
chr11:69050978-69052979	1	chr11:69276802-69281000
chr11:69050978-69052979	1	chr11:69281002-69287200
chr11:69050978-69052979	1	chr11:69286640-69288641
chr11:69050978-69052979	1	chr11:69299402-69305200
chr11:69050978-69052979	1	chr11:69304799-69306800
chr11:69050978-69052979	1	chr11:69308202-69315800
chr11:69050978-69052979	1	chr11:69314935-69316936
chr11:69050978-69052979	1	chr11:69316977-69318978
chr11:69050978-69052979	1	chr11:69317175-69319176
chr11:69050978-69052979	1	chr11:69323989-69325990
chr11:69050978-69052979	1	chr11:69329742-69331743
chr11:69050978-69052979	1	chr11:69331202-69334200
chr11:69050978-69052979	1	chr11:69344852-69346853
chr11:69050978-69052979	1	chr11:69351202-69352000
chr11:69050978-69052979	1	chr11:69353002-69356800
chr11:69050978-69052979	1	chr11:69390202-69391200
chr11:69050978-69052979	1	chr11:69415853-69417854
chr11:69050978-69052979	1	chr11:69417602-69419000
chr11:69050978-69052979	1	chr11:69430402-69432400
chr11:69050978-69052979	1	chr11:69457802-69476800
chr11:69052154-69054155	1	chr11:69083602-69090000
chr11:69052154-69054155	1	chr11:69191002-69193000
chr11:69052154-69054155	1	chr11:69233802-69236800
chr11:69052154-69054155	1	chr11:69238741-69240741
chr11:69052154-69054155	1	chr11:69242913-69244914
chr11:69052154-69054155	1	chr11:69249002-69254400
chr11:69052154-69054155	1	chr11:69255005-69257006
chr11:69052154-69054155	1	chr11:69255008-69257009
chr11:69052154-69054155	1	chr11:69255011-69257012
chr11:69052154-69054155	1	chr11:69257002-69267000
chr11:69052154-69054155	1	chr11:69276802-69281000
chr11:69052154-69054155	1	chr11:69281002-69287200
chr11:69052154-69054155	1	chr11:69286640-69288641
chr11:69052154-69054155	1	chr11:69299402-69305200
chr11:69052154-69054155	1	chr11:69304799-69306800
chr11:69052154-69054155	1	chr11:69308202-69315800
chr11:69052154-69054155	1	chr11:69314935-69316936
chr11:69052154-69054155	1	chr11:69316977-69318978
chr11:69052154-69054155	1	chr11:69317175-69319176
chr11:69052154-69054155	1	chr11:69323989-69325990
chr11:69052154-69054155	1	chr11:69329742-69331743
chr11:69052154-69054155	1	chr11:69331202-69334200
chr11:69052154-69054155	1	chr11:69344852-69346853
chr11:69052154-69054155	1	chr11:69351202-69352000
chr11:69052154-69054155	1	chr11:69353002-69356800
chr11:69052154-69054155	1	chr11:69390202-69391200
chr11:69052154-69054155	1	chr11:69415853-69417854
chr11:69052154-69054155	1	chr11:69417602-69419000
chr11:69052154-69054155	1	chr11:69430402-69432400
chr11:69052154-69054155	1	chr11:69457802-69476800
chr11:69083602-69090000	1	chr11:69191002-69193000
chr11:69083602-69090000	1	chr11:69233802-69236800
chr11:69083602-69090000	1	chr11:69238741-69240741
chr11:69083602-69090000	1	chr11:69242913-69244914
chr11:69083602-69090000	1	chr11:69249002-69254400
chr11:69083602-69090000	1	chr11:69255005-69257006
chr11:69083602-69090000	1	chr11:69255008-69257009
chr11:69083602-69090000	1	chr11:69255011-69257012
chr11:69083602-69090000	1	chr11:69257002-69267000
chr11:69083602-69090000	1	chr11:69276802-69281000
chr11:69083602-69090000	1	chr11:69281002-69287200
chr11:69083602-69090000	1	chr11:69286640-69288641
chr11:69083602-69090000	1	chr11:69299402-69305200
chr11:69083602-69090000	1	chr11:69304799-69306800
chr11:69083602-69090000	1	chr11:69308202-69315800
chr11:69083602-69090000	1	chr11:69314935-69316936
chr11:69083602-69090000	1	chr11:69316977-69318978
chr11:69083602-69090000	1	chr11:69317175-69319176
chr11:69083602-69090000	1	chr11:69323989-69325990
chr11:69083602-69090000	1	chr11:69329742-69331743
chr11:69083602-69090000	1	chr11:69331202-69334200
chr11:69083602-69090000	1	chr11:69344852-69346853
chr11:69083602-69090000	1	chr11:69351202-69352000
chr11:69083602-69090000	1	chr11:69353002-69356800
chr11:69083602-69090000	1	chr11:69390202-69391200
chr11:69083602-69090000	1	chr11:69415853-69417854
chr11:69083602-69090000	1	chr11:69417602-69419000
chr11:69083602-69090000	1	chr11:69430402-69432400
chr11:69083602-69090000	1	chr11:69457802-69476800
chr11:69191002-69193000	1	chr11:69233802-69236800
chr11:69191002-69193000	1	chr11:69238741-69240741
chr11:69191002-69193000	1	chr11:69242913-69244914
chr11:69191002-69193000	1	chr11:69249002-69254400
chr11:69191002-69193000	1	chr11:69255005-69257006
chr11:69191002-69193000	1	chr11:69255008-69257009
chr11:69191002-69193000	1	chr11:69255011-69257012
chr11:69191002-69193000	1	chr11:69257002-69267000
chr11:69191002-69193000	1	chr11:69276802-69281000
chr11:69191002-69193000	1	chr11:69281002-69287200
chr11:69191002-69193000	1	chr11:69286640-69288641
chr11:69191002-69193000	1	chr11:69299402-69305200
chr11:69191002-69193000	1	chr11:69304799-69306800
chr11:69191002-69193000	1	chr11:69308202-69315800
chr11:69191002-69193000	1	chr11:69314935-69316936
chr11:69191002-69193000	1	chr11:69316977-69318978
chr11:69191002-69193000	1	chr11:69317175-69319176
chr11:69191002-69193000	1	chr11:69323989-69325990
chr11:69191002-69193000	1	chr11:69329742-69331743
chr11:69191002-69193000	1	chr11:69331202-69334200
chr11:69191002-69193000	1	chr11:69344852-69346853
chr11:69191002-69193000	1	chr11:69351202-69352000
chr11:69191002-69193000	1	chr11:69353002-69356800
chr11:69191002-69193000	1	chr11:69390202-69391200
chr11:69191002-69193000	1	chr11:69415853-69417854
chr11:69191002-69193000	1	chr11:69417602-69419000
chr11:69191002-69193000	1	chr11:69430402-69432400
chr11:69191002-69193000	1	chr11:69457802-69476800
chr11:69233802-69236800	1	chr11:69238741-69240741
chr11:69233802-69236800	1	chr11:69242913-69244914
chr11:69233802-69236800	1	chr11:69249002-69254400
chr11:69233802-69236800	1	chr11:69255005-69257006
chr11:69233802-69236800	1	chr11:69255008-69257009
chr11:69233802-69236800	1	chr11:69255011-69257012
chr11:69233802-69236800	1	chr11:69257002-69267000
chr11:69233802-69236800	1	chr11:69276802-69281000
chr11:69233802-69236800	1	chr11:69281002-69287200
chr11:69233802-69236800	1	chr11:69286640-69288641
chr11:69233802-69236800	1	chr11:69299402-69305200
chr11:69233802-69236800	1	chr11:69304799-69306800
chr11:69233802-69236800	1	chr11:69308202-69315800
chr11:69233802-69236800	1	chr11:69314935-69316936
chr11:69233802-69236800	1	chr11:69316977-69318978
chr11:69233802-69236800	1	chr11:69317175-69319176
chr11:69233802-69236800	1	chr11:69323989-69325990
chr11:69233802-69236800	1	chr11:69329742-69331743
chr11:69233802-69236800	1	chr11:69331202-69334200
chr11:69233802-69236800	1	chr11:69344852-69346853
chr11:69233802-69236800	1	chr11:69351202-69352000
chr11:69233802-69236800	1	chr11:69353002-69356800
chr11:69233802-69236800	1	chr11:69390202-69391200
chr11:69233802-69236800	1	chr11:69415853-69417854
chr11:69233802-69236800	1	chr11:69417602-69419000
chr11:69233802-69236800	1	chr11:69430402-69432400
chr11:69233802-69236800	1	chr11:69457802-69476800
chr11:69238741-69240741	1	chr11:69242913-69244914
chr11:69238741-69240741	1	chr11:69249002-69254400
chr11:69238741-69240741	1	chr11:69255005-69257006
chr11:69238741-69240741	1	chr11:69255008-69257009
chr11:69238741-69240741	1	chr11:69255011-69257012
chr11:69238741-69240741	1	chr11:69257002-69267000
